i,r,t,Value
CoalOldScr,p58,2020,10523191.0164
CoalOldScr,p58,2023,3989620.262189
CoalOldScr,p58,2026,6910418.233074
CoalOldScr,p58,2029,6896830.922817
CoalOldScr,p60,2010,4444272.3
CoalOldScr,p60,2015,4239701.7
CoalOldScr,p63,2010,30022636.06386
CoalOldScr,p63,2015,28586662.401832
CoalOldScr,p63,2020,13891008.593631
CoalOldScr,p63,2023,15406048.025453
CoalOldScr,p63,2026,28860838.449593
CoalOldScr,p63,2029,18905062.152281
CoalOldScr,p63,2044,96343.346867
CoalOldScr,p63,2047,368167.151839
CoalOldScr,p63,2050,368167.151839
CoalOldScr,p64,2010,2985276.85857
CoalOldScr,p64,2015,6537849.14397
CoalOldScr,p64,2020,4356285.356414
CoalOldScr,p64,2023,4417204.748805
CoalOldScr,p64,2026,5646515.902917
CoalOldScr,p64,2029,2956988.13084
CoalOldScr,p65,2010,16722597.552
CoalOldScr,p65,2015,15217944.803909
CoalOldScr,p65,2020,14057123.385
CoalOldScr,p65,2023,8905813.231216
CoalOldScr,p65,2026,10265738.984322
CoalOldScr,p65,2041,205509.6
CoalOldScr,p67,2010,17190473.058
CoalOldScr,p67,2015,16972667.64
CoalOldScr,p67,2020,16791659.64
CoalOldScr,p67,2023,16849900.367518
CoalOldScr,p67,2026,16921962.774
CoalOldScr,p67,2041,1972584.36519
CoalOldScr,p67,2044,1321358.4
CoalOldScr,p67,2047,1321358.4
CoalOldScr,p67,2050,939177.736002
CoalOldScr,p69,2010,1658822.748138
CoalOldScr,p69,2015,1645900.048021
CoalOldScr,p69,2020,1641134.846783
CoalOldScr,p70,2010,6237793.508154
CoalOldScr,p70,2015,10921328.692758
CoalOldScr,p70,2020,8108836.592534
CoalOldScr,p70,2023,7031367.709571
CoalOldScr,p70,2026,10722086.575523
CoalOldScr,p70,2029,9253568.903703
CoalOldScr,p72,2010,31127279.314404
CoalOldScr,p72,2015,30755917.719918
CoalOldScr,p72,2020,27003099.337056
CoalOldScr,p72,2023,26956648.603084
CoalOldScr,p72,2026,22639785.985254
CoalOldScr,p72,2029,22453790.105394
CoalOldScr,p72,2047,127831.968365
CoalOldScr,p72,2050,115478.311284
CoalOldScr,p75,2020,175918.32
CoalOldScr,p75,2023,175918.32
CoalOldScr,p75,2026,175918.32
CoalOldScr,p75,2029,175918.32
CoalOldScr,p76,2015,6202007.249743
CoalOldScr,p76,2020,594926.64
CoalOldScr,p76,2023,594926.64
CoalOldScr,p76,2026,594926.64
CoalOldScr,p76,2029,594926.64
CoalOldScr,p79,2020,213078.24
CoalOldScr,p79,2023,213078.24
CoalOldScr,p79,2026,213078.24
CoalOldScr,p79,2029,213078.24
CoalOldScr,p81,2010,1166878.98
CoalOldScr,p81,2015,12282522.90216
CoalOldScr,p81,2020,934516.8
CoalOldScr,p81,2023,934516.8
CoalOldScr,p81,2026,934516.8
CoalOldScr,p81,2029,934516.8
CoalOldScr,p82,2010,14248344.37404
CoalOldScr,p82,2015,13546733.781046
CoalOldScr,p82,2020,2140330.19004
CoalOldScr,p82,2023,891943.2
CoalOldScr,p82,2026,2073494.977939
CoalOldScr,p82,2029,1436672.141193
CoalOldScr,p83,2020,312732.0
CoalOldScr,p83,2023,312732.0
CoalOldScr,p83,2026,312732.0
CoalOldScr,p83,2029,312732.0
CoalOldScr,p84,2010,8280980.4564
CoalOldScr,p84,2015,8223286.1706
CoalOldScr,p84,2020,8175363.3198
CoalOldScr,p84,2023,8191086.7914
CoalOldScr,p84,2026,8216015.1714
CoalOldScr,p84,2041,345879.776183
CoalOldScr,p84,2044,345879.776183
CoalOldScr,p84,2047,345879.776183
CoalOldScr,p84,2050,280054.782132
CoalOldScr,p85,2010,19989360.499267
CoalOldScr,p85,2015,19736828.202538
CoalOldScr,p85,2020,19568312.457406
CoalOldScr,p85,2023,19563792.043313
