,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p47109,0.10430104495579519,0.4428744087254802,0.001441053876452805,0.00018513995282208766,3.6922611697793705e-05,1.680780055062956e-07,0.08030891921785804,0.17645489900517536,0.19439744357671304
p53001,2.7286554393110627e-06,2.7032477273744426e-08,2.9822127070002788e-09,0.32519156286251133,2.247155904595498e-10,0.6727608246600091,2.253609736877783e-09,0.002036074045101626,8.777283923390967e-06
p29057,0.07251499012986869,0.045460417741723616,0.0003000776842753104,0.005794344460176217,7.1334337056746956e-06,4.174810609281897e-06,0.003554241629172186,0.5527022967175069,0.3196623233929622
p22101,0.001988885510018643,0.2432283385183562,2.876074545395885e-05,0.00017841383738726818,9.544193549855366e-07,5.377147620226619e-07,0.054406780431479736,0.004774680329397561,0.6953926484937896
p50007,0.007276055991730605,0.0005700474334403661,0.4640737850230839,2.9705593540132555e-07,0.5169972190721006,3.2250750933036527e-10,0.010964750416321223,0.00010932262944362299,8.522055436856493e-06
p22057,0.0017646655703704192,0.29592136230250776,3.372831423445988e-05,8.285854799841825e-05,1.222971041471792e-06,2.446671959006255e-07,0.08763570781821477,0.003966660524443846,0.6105935492839929
p19139,0.4668888546322998,0.01856756280214005,0.001968262990693958,0.0015665469844345177,5.422474222490222e-05,9.225897796897785e-07,0.002848863173903967,0.4981744983111246,0.009930263773398324
p12113,0.003193525236471401,0.39077395562343487,0.00016912968003308338,2.0864616769823726e-05,7.731925188038065e-06,3.758329941264079e-08,0.49552501976741886,0.0059227525115362,0.1043869830558483
p18101,0.49634594857712044,0.30978342850025176,0.014897473325915176,0.00012365959172695403,0.000348909980989286,7.135471657945918e-08,0.048896210732744735,0.09094513001909756,0.038659167917437655
p21203,0.17562801364806338,0.4936107382616942,0.030301782373795796,2.6569254787652987e-05,0.0007853504270611481,1.850143055992558e-08,0.24649744013854338,0.03329048186368884,0.019859605530935045
p21223,0.4009748896328408,0.4228320337670198,0.02668209603339202,4.718584201815747e-05,0.0006160894100242875,2.7436767775797845e-08,0.09317553297684636,0.03767440022887209,0.017997744672218693
p13055,0.031712396135310905,0.43141624658814076,0.0034387843864635515,2.8352281764849065e-05,0.00012352723973925534,2.6450496267775975e-08,0.47212038004500656,0.029885059567836273,0.0312752273052417
p45033,0.023495426704573625,0.11042984935900249,0.013085502482174874,1.7769348173104014e-06,0.0019515866248379094,1.526396447788198e-09,0.84662064312848,0.002374755703507474,0.002040457536209934
p37103,0.01832744456337277,0.059290565756519094,0.031202557739564613,6.760165445694784e-07,0.005325203073164291,5.465576754303661e-10,0.8841602546091238,0.0009472986668211018,0.0007459990283320796
p29199,0.38301553709574127,0.026614600543478122,0.0011659801404420968,0.0028911349537516285,3.2369842786265385e-05,1.2292578429420448e-06,0.0025048164026347445,0.5568498243534,0.026924507409922763
p20131,0.0701428590531142,0.010638292031572334,0.0002008790440366579,0.03110855475816461,5.516347405669028e-06,1.3318833834187044e-05,0.000799912325253207,0.7973961841641034,0.08969448344251567
p20137,0.007652380719453952,0.0013666745732568869,2.2212430884969882e-05,0.21870166397648816,6.203227007708559e-07,8.501076109358203e-05,0.00010483145013930823,0.6939139671896833,0.07815263857629924
p31065,0.007943815992302218,0.0012339798566767565,2.3975942134879867e-05,0.22531736492622945,6.688062315900516e-07,7.817927929740141e-05,9.47998861583163e-05,0.7068270688437414,0.05848014646722811
p13087,0.0026671831222668764,0.41738487330279,0.00037673572196295313,7.084755976569435e-06,2.386521559671186e-05,1.057104349766675e-08,0.5489002987937882,0.0037081715414284603,0.026931776975146704
p18177,0.524616472521398,0.2933393472729876,0.04709230539898334,5.8468698470122604e-05,0.0012032798005737657,3.0068838968811586e-08,0.09327996140078068,0.0296027900849837,0.010807344752983844
p21009,0.2251168897198855,0.4931010713770204,0.012375921381499058,6.122088250117949e-05,0.00030633882446003005,4.538728961337111e-08,0.1341339504602954,0.08322405114741757,0.0516805108196313
p31093,0.01853411651542862,0.001992621658094781,6.747464126370858e-05,0.12644639689946047,1.8376249895568474e-06,5.209385743343608e-05,0.00014797951513008297,0.822869016501383,0.029888462786816544
p38025,0.006351623119315971,2.1121547157814347e-05,6.594904427767014e-06,0.16462180735155377,5.404803025006254e-07,0.0009151091565252218,4.083065084537038e-06,0.827839635531209,0.00023948484442330438
p06005,1.426868268468497e-07,2.4801435908089135e-08,3.087967213123205e-10,0.36374568617905056,9.624472184780998e-12,0.6361407068533314,1.6090483760111917e-09,6.815587022196042e-05,4.528168166370564e-05
p47049,0.13017461236596428,0.5208560493121446,0.014456035701898554,3.4296483915828346e-05,0.0004097495770080494,2.6790996364959217e-08,0.2511887652665981,0.04802301144201024,0.034857453059463875
p20031,0.046766715282552954,0.016705512113011696,0.0001557009371885931,0.0206076504712454,3.9208574098515705e-06,1.284631837953186e-05,0.0012870990808351581,0.6630863880362923,0.2513741669030846
p26023,0.731692278554626,0.0822952072995753,0.06921188442269216,0.00011067487063500428,0.001877834916993652,7.957294101004173e-08,0.058175734261770334,0.05210694160887341,0.004529364491893118
p51031,0.08929346183491595,0.14579433835901437,0.09146752562323252,2.003124460064304e-06,0.00991472961781371,1.3378557298394647e-09,0.6595288698430117,0.002425984049195678,0.0015730862105004715
p39105,0.33872075581595457,0.19821123134849394,0.12929217084287684,6.88048750973245e-06,0.003039538189221107,3.5555114437316583e-09,0.3233932949109434,0.00484878821262625,0.0024873366368626144
p54067,0.2156593949788714,0.18259808559201846,0.14325768245033776,4.130234685345748e-06,0.005492726815821623,2.416279928780688e-09,0.4467821084378272,0.00395419756852143,0.0022516715056370177
p40053,0.007488470683525258,0.006170416747966279,2.9084468359121415e-05,0.046367767798795194,7.007148575249537e-07,3.6123821749489174e-05,0.0004291710338152683,0.43253896232608585,0.506939302404846
p46115,0.052853392925415826,0.00034675367419733397,7.313649544354532e-05,0.1281629159011573,3.6262659096225114e-06,0.00010949511012873024,5.271474136316256e-05,0.8168128914818488,0.0015850734045356983
p50027,0.007995641400350308,0.0007600936460393329,0.4044353873229083,2.249353142962895e-07,0.5661632653015892,2.1327301106948355e-10,0.020564490801678492,7.05994324309277e-05,1.0296946416296013e-05
p48455,0.0028437016086365844,0.10356886333650225,1.8776389793982313e-05,0.002758949240277688,4.807801235623128e-07,8.177971040158746e-06,0.008893022114221062,0.012772789991306231,0.8691352385680985
